,Lower,Upper,Units,Source Lower,Source Upper
P_abs,0.81,0.9900000000000001,Dimensionless,"90% of Zhu, Long, and Ort (2010)","110% of Zhu, Long, and Ort (2010)"
T_l,0.00017,0.00024,m,Wuyts et al. (2010),Ramonell et al. (2001)
A_l,1.0,1.0,m$^2$,Fixed,Fixed
V_gc_ind,4.75e-13,4.1e-12,dm$^3$,Jezek and Blatt (2017),Hills et al. (2012)
FqFm,0.79,0.9,Dimensionless,Lawson (2003),Lawson (2003)
R_ch,0.035,0.18333333333333332,Dimensionless,"Fujiwara, Sanjaya, and Itoh (2019)","Fujiwara, Sanjaya, and Itoh (2019)"
L_air,0.185,0.37,Dimensionless,Ramonell et al. (2001),Earles et al. (2018)
L_epidermis,0.1,0.24,Dimensionless,Willmer and Fricker (1996),Ramonell et al. (2001)
Vac_frac,0.751,0.9,Dimensionless,Wang et al. (2017),Andrés et al. (2014) 
T,283.15,298.15,K,10C,25C
R,0.08205,0.08205,dm$^3$$\cdot$atm$\cdot$K$^{-1}$$\cdot$mol$^{-1}$,Tiesinga et al. (2019),Tiesinga et al. (2019)
N_gcs,172000000.0,1160000000.0,GCs$\cdot$m$^{-2}$,Willmer and Fricker (1996),"Papanatsiou, Amtmann, and Blatt (2016)"
n,1.5,2.5,atm,Wang et al. (2012),Wang et al. (2017)
m,0.8,1.0,atm$\cdot$µm$^{-1}$,Wang et al. (2017),Wang et al. (2012)
r,5e-14,8e-14,dm$^3$ µm$^{-1}$,Wang et al. (2017),Wang et al. (2012)
s,1e-13,3e-13,dm$^3$,Wang et al. (2012),Wang et al. (2017)
C_apo,0.023020072199999998,0.03730000000000001,mol$\cdot$dm$^{-3}$,Wang et al. (2017),Roelfsema and Hedrich (2002)
A_closed,1.0,4.0,µm,Jezek and Blatt (2017),Wang et al. (2017)
A_open,2.75,12.0,µm,Horrer et al. (2016),Wang et al. (2017)
ATPase,0.0,17.0,fmoles$\cdot$GC$^{-1}\cdot$h$^{-1}$,Supplementary,Flütsch et al. (2020)
